日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260331,5921,川岸工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5922,那須電機鉄工,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5923,高田機工,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5928,アルメタックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5929,三和ホールディングス,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20260331,5930,文化シヤッター,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20260331,5932,三協立山,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260331,5933,アルインコ,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260331,5936,東洋シヤッター,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5938,ＬＩＸＩＬ,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20260331,5939,大谷工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5940,不二サッシ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5941,中西製作所,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5942,日本フイルコン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5943,ノーリツ,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20260331,5945,天龍製鋸,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5946,長府製作所,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260331,5947,リンナイ,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20260331,5949,ユニプレス,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機,6,TOPIX Small 1
20260331,5950,日本パワーファスニング,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5951,ダイニチ工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5952,アマテイ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5955,ワイズホールディングス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5956,トーソー,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5957,日東精工,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260331,5958,三洋工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260331,5959,岡部,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
